,feature1,feature2,correlation,Abs Correlation
42,% Population 16 Years and Over: in Labor Force,% Population 16 Years and Over: Not in Labor Force,-1.0000000000000002,1.0000000000000002
106,% Population 16 Years and Over: Not in Labor Force,% Population 16 Years and Over: in Labor Force,-1.0000000000000002,1.0000000000000002
243,% Total: with Health Insurance Coverage,% Total: No Health Insurance Coverage,-0.9999999999999991,0.9999999999999991
233,% Total: No Health Insurance Coverage,% Total: with Health Insurance Coverage,-0.9999999999999991,0.9999999999999991
1082,F_LIMENG,F_CROWD,0.999846261032894,0.999846261032894
1195,F_CROWD,F_LIMENG,0.999846261032894,0.999846261032894
1058,F_SNGPNT,F_MINRTY,0.9998417066305131,0.9998417066305131
1135,F_THEME3,F_SNGPNT,0.9998417066305131,0.9998417066305131
1059,F_SNGPNT,F_THEME3,0.9998417066305131,0.9998417066305131
1116,F_MINRTY,F_SNGPNT,0.9998417066305131,0.9998417066305131
869,F_POV150,F_NOHSDP,0.9998412048651002,0.9998412048651002
927,F_NOHSDP,F_POV150,0.9998412048651002,0.9998412048651002
1121,F_MINRTY,F_CROWD,0.999837216222632,0.999837216222632
1198,F_CROWD,F_THEME3,0.999837216222632,0.999837216222632
1197,F_CROWD,F_MINRTY,0.999837216222632,0.999837216222632
1140,F_THEME3,F_CROWD,0.999837216222632,0.999837216222632
1192,F_CROWD,F_AGE17,0.9998352124876958,0.9998352124876958
1022,F_AGE17,F_CROWD,0.9998352124876958,0.9998352124876958
887,F_UNEMP,F_POV150,0.9998336917434139,0.9998336917434139
867,F_POV150,F_UNEMP,0.9998336917434139,0.9998336917434139
1136,F_THEME3,F_LIMENG,0.9998276867864684,0.9998276867864684
1117,F_MINRTY,F_LIMENG,0.9998276867864684,0.9998276867864684
1079,F_LIMENG,F_THEME3,0.9998276867864684,0.9998276867864684
1078,F_LIMENG,F_MINRTY,0.9998276867864684,0.9998276867864684
1189,F_CROWD,F_UNINSUR,0.9998257073291071,0.9998257073291071
962,F_UNINSUR,F_CROWD,0.9998257073291071,0.9998257073291071
875,F_POV150,F_SNGPNT,0.9998246740893709,0.9998246740893709
1047,F_SNGPNT,F_POV150,0.9998246740893709,0.9998246740893709
883,F_POV150,F_NOVEH,0.9998206697650676,0.9998206697650676
1205,F_NOVEH,F_POV150,0.9998206697650676,0.9998206697650676
1129,F_THEME3,F_NOHSDP,0.999819165442272,0.999819165442272
939,F_NOHSDP,F_THEME3,0.999819165442272,0.999819165442272
938,F_NOHSDP,F_MINRTY,0.999819165442272,0.999819165442272
1110,F_MINRTY,F_NOHSDP,0.999819165442272,0.999819165442272
1147,F_MUNIT,F_HBURD,0.9998171620131081,0.9998171620131081
920,F_HBURD,F_MUNIT,0.9998171620131081,0.9998171620131081
1018,F_AGE17,F_MINRTY,0.9998156578650614,0.9998156578650614
1019,F_AGE17,F_THEME3,0.9998156578650614,0.9998156578650614
1133,F_THEME3,F_AGE17,0.9998156578650614,0.9998156578650614
1114,F_MINRTY,F_AGE17,0.9998156578650614,0.9998156578650614
1168,F_MOBILE,F_NOHSDP,0.9998136564777997,0.9998136564777997
941,F_NOHSDP,F_MOBILE,0.9998136564777997,0.9998136564777997
879,F_POV150,F_THEME3,0.9998136545256581,0.9998136545256581
878,F_POV150,F_MINRTY,0.9998136545256581,0.9998136545256581
1107,F_MINRTY,F_POV150,0.9998136545256581,0.9998136545256581
1126,F_THEME3,F_POV150,0.9998136545256581,0.9998136545256581
936,F_NOHSDP,F_LIMENG,0.9998131668011145,0.9998131668011145
1070,F_LIMENG,F_NOHSDP,0.9998131668011145,0.9998131668011145
1074,F_LIMENG,F_AGE17,0.9998126589605575,0.9998126589605575
1016,F_AGE17,F_LIMENG,0.9998126589605575,0.9998126589605575
1188,F_CROWD,F_NOHSDP,0.9998106570474595,0.9998106570474595
942,F_NOHSDP,F_CROWD,0.9998106570474595,0.9998106570474595
1108,F_MINRTY,F_UNEMP,0.9998106485679173,0.9998106485679173
1127,F_THEME3,F_UNEMP,0.9998106485679173,0.9998106485679173
899,F_UNEMP,F_THEME3,0.9998106485679173,0.9998106485679173
898,F_UNEMP,F_MINRTY,0.9998106485679173,0.9998106485679173
953,F_UNINSUR,F_AGE17,0.9998101495166125,0.9998101495166125
1011,F_AGE17,F_UNINSUR,0.9998101495166125,0.9998101495166125
1217,F_NOVEH,F_MINRTY,0.9998096476361679,0.9998096476361679
1218,F_NOVEH,F_THEME3,0.9998096476361679,0.9998096476361679
1122,F_MINRTY,F_NOVEH,0.9998096476361679,0.9998096476361679
1141,F_THEME3,F_NOVEH,0.9998096476361679,0.9998096476361679
1165,F_MOBILE,F_POV150,0.9998091471039791,0.9998091471039791
881,F_POV150,F_MOBILE,0.9998091471039791,0.9998091471039791
1214,F_NOVEH,F_SNGPNT,0.999806643733042,0.999806643733042
1063,F_SNGPNT,F_NOVEH,0.999806643733042,0.999806643733042
956,F_UNINSUR,F_LIMENG,0.9998031373742673,0.9998031373742673
1071,F_LIMENG,F_UNINSUR,0.9998031373742673,0.9998031373742673
950,F_UNINSUR,F_NOHSDP,0.9998026395488662,0.9998026395488662
930,F_NOHSDP,F_UNINSUR,0.9998026395488662,0.9998026395488662
1130,F_THEME3,F_UNINSUR,0.9998011328014225,0.9998011328014225
1111,F_MINRTY,F_UNINSUR,0.9998011328014225,0.9998011328014225
959,F_UNINSUR,F_THEME3,0.9998011328014225,0.9998011328014225
958,F_UNINSUR,F_MINRTY,0.9998011328014225,0.9998011328014225
933,F_NOHSDP,F_AGE17,0.9998011319331568,0.9998011319331568
1010,F_AGE17,F_NOHSDP,0.9998011319331568,0.9998011319331568
903,F_UNEMP,F_NOVEH,0.9998006309144234,0.9998006309144234
1206,F_NOVEH,F_UNEMP,0.9998006309144234,0.9998006309144234
1128,F_THEME3,F_HBURD,0.9998001338376112,0.9998001338376112
918,F_HBURD,F_MINRTY,0.9998001338376112,0.9998001338376112
1109,F_MINRTY,F_HBURD,0.9998001338376112,0.9998001338376112
919,F_HBURD,F_THEME3,0.9998001338376112,0.9998001338376112
895,F_UNEMP,F_SNGPNT,0.9997996284732285,0.9997996284732285
1048,F_SNGPNT,F_UNEMP,0.9997996284732285,0.9997996284732285
1050,F_SNGPNT,F_NOHSDP,0.9997981247528197,0.9997981247528197
935,F_NOHSDP,F_SNGPNT,0.9997981247528197,0.9997981247528197
1027,F_DISABL,F_POV150,0.9997971276801524,0.9997971276801524
874,F_POV150,F_DISABL,0.9997971276801524,0.9997971276801524
928,F_NOHSDP,F_UNEMP,0.999789109593746,0.999789109593746
889,F_UNEMP,F_NOHSDP,0.999789109593746,0.999789109593746
943,F_NOHSDP,F_NOVEH,0.9997881106434646,0.9997881106434646
1208,F_NOVEH,F_NOHSDP,0.9997881106434646,0.9997881106434646
1173,F_MOBILE,F_DISABL,0.9997846015001488,0.9997846015001488
1041,F_DISABL,F_MOBILE,0.9997846015001488,0.9997846015001488
894,F_UNEMP,F_DISABL,0.9997830993710415,0.9997830993710415
1028,F_DISABL,F_UNEMP,0.9997830993710415,0.9997830993710415
870,F_POV150,F_UNINSUR,0.9997820997996203,0.9997820997996203
947,F_UNINSUR,F_POV150,0.9997820997996203,0.9997820997996203
901,F_UNEMP,F_MOBILE,0.9997820958954123,0.9997820958954123
1166,F_MOBILE,F_UNEMP,0.9997820958954123,0.9997820958954123
1054,F_SNGPNT,F_AGE17,0.9997815949772508,0.9997815949772508
1015,F_AGE17,F_SNGPNT,0.9997815949772508,0.9997815949772508
1049,F_SNGPNT,F_HBURD,0.9997811021635443,0.9997811021635443
915,F_HBURD,F_SNGPNT,0.9997811021635443,0.9997811021635443
902,F_UNEMP,F_CROWD,0.9997791079094799,0.9997791079094799
1186,F_CROWD,F_UNEMP,0.9997791079094799,0.9997791079094799
1194,F_CROWD,F_SNGPNT,0.9997791010800284,0.9997791010800284
1062,F_SNGPNT,F_CROWD,0.9997791010800284,0.9997791010800284
1207,F_NOVEH,F_HBURD,0.9997790925843445,0.9997790925843445
923,F_HBURD,F_NOVEH,0.9997790925843445,0.9997790925843445
1185,F_CROWD,F_POV150,0.9997770973421758,0.9997770973421758
882,F_POV150,F_CROWD,0.9997770973421758,0.9997770973421758
1069,F_LIMENG,F_HBURD,0.9997770882218224,0.9997770882218224
916,F_HBURD,F_LIMENG,0.9997770882218224,0.9997770882218224
1051,F_SNGPNT,F_UNINSUR,0.9997750867887061,0.9997750867887061
955,F_UNINSUR,F_SNGPNT,0.9997750867887061,0.9997750867887061
1030,F_DISABL,F_NOHSDP,0.9997735856253388,0.9997735856253388
934,F_NOHSDP,F_DISABL,0.9997735856253388,0.9997735856253388
1155,F_MUNIT,F_LIMENG,0.9997735820654985,0.9997735820654985
1080,F_LIMENG,F_MUNIT,0.9997735820654985,0.9997735820654985
1033,F_DISABL,F_AGE65,0.9997671128295905,0.9997671128295905
994,F_AGE65,F_DISABL,0.9997671128295905,0.9997671128295905
1201,F_CROWD,F_NOVEH,0.9997630861839941,0.9997630861839941
1221,F_NOVEH,F_CROWD,0.9997630861839941,0.9997630861839941
1061,F_SNGPNT,F_MOBILE,0.99976306153667,0.99976306153667
1174,F_MOBILE,F_SNGPNT,0.99976306153667,0.99976306153667
890,F_UNEMP,F_UNINSUR,0.9997620603689308,0.9997620603689308
948,F_UNINSUR,F_UNEMP,0.9997620603689308,0.9997620603689308
1228,F_GROUPQ,F_NOHSDP,0.9997600833796053,0.9997600833796053
944,F_NOHSDP,F_GROUPQ,0.9997600833796053,0.9997600833796053
1187,F_CROWD,F_HBURD,0.9997595943313643,0.9997595943313643
922,F_HBURD,F_CROWD,0.9997595943313643,0.9997595943313643
893,F_UNEMP,F_AGE17,0.9997595537370376,0.9997595537370376
1008,F_AGE17,F_UNEMP,0.9997595537370376,0.9997595537370376
873,F_POV150,F_AGE17,0.9997575503159452,0.9997575503159452
1007,F_AGE17,F_POV150,0.9997575503159452,0.9997575503159452
884,F_POV150,F_GROUPQ,0.9997565729994294,0.9997565729994294
1225,F_GROUPQ,F_POV150,0.9997565729994294,0.9997565729994294
1139,F_THEME3,F_MOBILE,0.9997560475692089,0.9997560475692089
1177,F_MOBILE,F_MINRTY,0.9997560475692089,0.9997560475692089
1120,F_MINRTY,F_MOBILE,0.9997560475692089,0.9997560475692089
1178,F_MOBILE,F_THEME3,0.9997560475692089,0.9997560475692089
1043,F_DISABL,F_NOVEH,0.9997550464230203,0.9997550464230203
1213,F_NOVEH,F_DISABL,0.9997550464230203,0.9997550464230203
1220,F_NOVEH,F_MOBILE,0.9997550460668453,0.9997550460668453
1181,F_MOBILE,F_NOVEH,0.9997550460668453,0.9997550460668453
1240,F_GROUPQ,F_MOBILE,0.9997540586528249,0.9997540586528249
1182,F_MOBILE,F_GROUPQ,0.9997540586528249,0.9997540586528249
963,F_UNINSUR,F_NOVEH,0.9997540445672364,0.9997540445672364
1209,F_NOVEH,F_UNINSUR,0.9997540445672364,0.9997540445672364
1226,F_GROUPQ,F_UNEMP,0.9997535606389605,0.9997535606389605
904,F_UNEMP,F_GROUPQ,0.9997535606389605,0.9997535606389605
1219,F_NOVEH,F_MUNIT,0.9997535443064801,0.9997535443064801
1161,F_MUNIT,F_NOVEH,0.9997535443064801,0.9997535443064801
1158,F_MUNIT,F_THEME3,0.9997515421872359,0.9997515421872359
1157,F_MUNIT,F_MINRTY,0.9997515421872359,0.9997515421872359
1119,F_MINRTY,F_MUNIT,0.9997515421872359,0.9997515421872359
1138,F_THEME3,F_MUNIT,0.9997515421872359,0.9997515421872359
907,F_HBURD,F_POV150,0.9997510464461473,0.9997510464461473
868,F_POV150,F_HBURD,0.9997510464461473,0.9997510464461473
1169,F_MOBILE,F_UNINSUR,0.9997505383786564,0.9997505383786564
961,F_UNINSUR,F_MOBILE,0.9997505383786564,0.9997505383786564
908,F_HBURD,F_UNEMP,0.9997500410482156,0.9997500410482156
888,F_UNEMP,F_HBURD,0.9997500410482156,0.9997500410482156
1242,F_GROUPQ,F_NOVEH,0.9997465421856929,0.9997465421856929
1222,F_NOVEH,F_GROUPQ,0.9997465421856929,0.9997465421856929
1056,F_SNGPNT,F_LIMENG,0.9997465407128999,0.9997465407128999
1076,F_LIMENG,F_SNGPNT,0.9997465407128999,0.9997465407128999
1180,F_MOBILE,F_CROWD,0.9997445474096631,0.9997445474096631
1200,F_CROWD,F_MOBILE,0.9997445474096631,0.9997445474096631
1348,%LIMENG,EP_LIMENG,0.9997444950680597,0.9997444950680597
430,EP_LIMENG,%LIMENG,0.9997444950680597,0.9997444950680597
1238,F_GROUPQ,F_THEME3,0.9997415384130998,0.9997415384130998
1123,F_MINRTY,F_GROUPQ,0.9997415384130998,0.9997415384130998
1237,F_GROUPQ,F_MINRTY,0.9997415384130998,0.9997415384130998
1142,F_THEME3,F_GROUPQ,0.9997415384130998,0.9997415384130998
1199,F_CROWD,F_MUNIT,0.9997410546190028,0.9997410546190028
1160,F_MUNIT,F_CROWD,0.9997410546190028,0.9997410546190028
1215,F_NOVEH,F_LIMENG,0.9997405225198105,0.9997405225198105
1083,F_LIMENG,F_NOVEH,0.9997405225198105,0.9997405225198105
1212,F_NOVEH,F_AGE17,0.999739517578156,0.999739517578156
1023,F_AGE17,F_NOVEH,0.999739517578156,0.999739517578156
913,F_HBURD,F_AGE17,0.9997380187787597,0.9997380187787597
1009,F_AGE17,F_HBURD,0.9997380187787597,0.9997380187787597
1234,F_GROUPQ,F_SNGPNT,0.9997355340735409,0.9997355340735409
1064,F_SNGPNT,F_GROUPQ,0.9997355340735409,0.9997355340735409
964,F_UNINSUR,F_GROUPQ,0.9997350186549109,0.9997350186549109
1229,F_GROUPQ,F_UNINSUR,0.9997350186549109,0.9997350186549109
1227,F_GROUPQ,F_HBURD,0.9997350151352984,0.9997350151352984
924,F_HBURD,F_GROUPQ,0.9997350151352984,0.9997350151352984
1067,F_LIMENG,F_POV150,0.9997345184346684,0.9997345184346684
876,F_POV150,F_LIMENG,0.9997345184346684,0.9997345184346684
1202,F_CROWD,F_GROUPQ,0.9997340778663262,0.9997340778663262
1241,F_GROUPQ,F_CROWD,0.9997340778663262,0.9997340778663262
892,F_UNEMP,F_AGE65,0.9997335345569824,0.9997335345569824
988,F_AGE65,F_UNEMP,0.9997335345569824,0.9997335345569824
896,F_UNEMP,F_LIMENG,0.9997335124107636,0.9997335124107636
1068,F_LIMENG,F_UNEMP,0.9997335124107636,0.9997335124107636
1044,F_DISABL,F_GROUPQ,0.9997310112550345,0.9997310112550345
1233,F_GROUPQ,F_DISABL,0.9997310112550345,0.9997310112550345
