FIPS,MAX_Completeness_pct,Weeks2MAX,IDX_W2M,Population Density (Per Sq. Mile),Area (Land),Average Commute to Work (In Min),AREA_SQMI,Density_Medical_Facilities_Population,Density_Medical_Facilities_Area,Density_Transportation_Stops_Pop,Density_Transportation_Stops_Area,Stops_per_Facility,Total Population,Total Population:,% Total Population: Male,% Total Population: Female,Total Population:.1,% Total Population: Under 5 Years,% Total Population: 5 to 9 Years,% Total Population: 10 to 14 Years,% Total Population: 15 to 17 Years,% Total Population: 18 to 24 Years,% Total Population: 25 to 34 Years,% Total Population: 35 to 44 Years,% Total Population: 45 to 54 Years,% Total Population: 55 to 64 Years,% Total Population: 65 to 74 Years,% Total Population: 75 to 84 Years,% Total Population: 85 Years and Over,% Total Population: White Alone,% Total Population: Black or African American Alone,% Total Population: American Indian and Alaska Native Alone,% Total Population: Asian Alone,% Total Population: Native Hawaiian and Other Pacific Islander Alone,% Total Population: Some Other Race Alone,% Total Population: Two or More Races,% Population 25 Years and Over: Less than High School,% Population 25 Years and Over: High School Graduate or More (Includes Equivalency),% Population 25 Years and Over: Some College or More,% Population 25 Years and Over: Bachelor's Degree or More,% Population 25 Years and Over: Master's Degree or More,% Population 25 Years and Over: Professional School Degree or More,% Population 25 Years and Over: Doctorate Degree,% Population 16 Years and Over: in Labor Force,% Population 16 Years and Over: in Labor Force: in Armed Forces,% Population 16 Years and Over: in Labor Force: Civilian,% Population 16 Years and Over: in Labor Force: Civilian: Employed,% Population 16 Years and Over: in Labor Force: Civilian: Unemployed,% Population 16 Years and Over: Not in Labor Force,"% Households: Less than $25,000","% Households: $25,000 to $49,999","% Households: $50,000 to $74,999","% Households: $75,000 to $99,999","% Households: $100,000 or More",Median Household Income (In 2021 Inflation Adjusted Dollars),Gini Index,"% Workers 16 Years and Over: Car, Truck, or Van",% Workers 16 Years and Over: Drove Alone,% Workers 16 Years and Over: Carpooled,% Workers 16 Years and Over: Public Transportation (Includes Taxicab),% Workers 16 Years and Over: Motorcycle,% Workers 16 Years and Over: Bicycle,% Workers 16 Years and Over: Walked,% Workers 16 Years and Over: Other Means,% Workers 16 Years and Over: Worked At Home,% Total: No Health Insurance Coverage,% Total: with Health Insurance Coverage,% Total: with Health Insurance Coverage: Public Health Coverage,% Total: with Health Insurance Coverage: Private Health Insurance,E_TOTPOP,EP_POV150,EP_UNEMP,EP_HBURD,EP_NOHSDP,EP_UNINSUR,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_LIMENG,EP_MINRTY,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,EP_NOINT,EP_AFAM,EP_HISP,EP_ASIAN,EP_AIAN,EP_NHPI,EP_TWOMORE,EP_OTHERRACE,%Total Child Population,%Total University,%Total High school,%Total Less than High School,%Total Adult Population,%Total Elderly Population,%Population with Disability,%LIMENG,%NOINT
56045.0,-0.01,-1.47,-1.46,2.87,2398.01,0.4,2398.0,0.0,0.0,0.0,0.0,0.0,6891.0,6891.0,53.46,46.54,6891.0,4.47,7.87,3.29,4.57,8.81,8.72,13.66,11.89,16.18,12.18,6.75,1.63,89.3,0.36,1.31,0.75,1.06,0.17,7.04,7.11,92.89,55.56,18.4,4.54,1.72,0.88,56.15,0.0,56.15,53.91,2.23,43.85,22.04,18.99,13.83,18.12,27.02,65566.0,0.43,77.32,68.15,9.16,7.55,1.58,0.23,5.64,2.05,5.64,0.13,87.18,30.81,67.58,6942.0,20.3,3.9,18.1,6.7,11.8,20.3,19.3,14.2,2.0,0.2,9.3,3.5,21.3,2.5,2.2,4.8,0.34,0.29,0.19,0.15,0.73,1.7,0.24,0.63,0.19,0.37,0.03,0.16,1.38,0.03,0.3,0.3,0.3,0.56,0.82,0.67,0.04,0.8,2.91,0.72,6.28,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5074.0,15.8,0.6,1.9,1.6,0.6,1.7,2.9,0.0,0.0,0.55,0.37,0.07,0.59,0.21,0.13,0.01,0.15
56043.0,-0.01,-1.47,-1.46,3.47,2238.68,0.13,2238.68,0.0,0.01,0.0,0.0,0.0,7768.0,7768.0,51.54,48.46,7768.0,5.14,4.13,7.8,5.69,7.43,9.31,13.17,10.59,14.47,13.21,6.72,2.34,85.67,0.01,0.91,0.4,0.0,7.34,5.66,5.9,94.1,68.45,26.17,8.92,1.71,0.33,63.62,0.32,63.31,61.71,1.6,36.38,15.67,21.25,25.79,13.68,23.62,62271.0,0.37,88.71,81.08,7.63,0.0,0.0,1.67,4.0,2.72,2.9,0.11,89.33,30.76,72.82,7933.0,19.2,4.2,16.8,8.0,12.2,21.6,23.8,13.6,3.8,0.2,18.2,1.0,7.4,3.4,4.3,2.0,0.28,0.35,0.13,0.25,0.75,1.77,0.26,0.74,0.73,0.31,0.16,0.16,2.1,0.26,0.52,0.52,0.52,0.18,0.37,0.82,0.29,0.5,2.16,0.31,6.55,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7290.0,13.2,0.0,14.3,0.0,0.4,0.0,3.2,0.4,0.0,0.68,0.26,0.06,0.55,0.22,0.13,0.01,0.13
56041.0,-0.01,-1.47,-1.46,9.85,2081.72,0.29,2081.72,0.0,0.02,0.0,0.0,0.0,20514.0,20514.0,50.88,49.12,20514.0,6.89,8.35,8.59,4.81,6.86,11.95,13.43,11.27,13.12,9.46,3.69,1.58,92.13,0.25,0.25,0.18,0.0,2.42,4.77,6.43,93.57,57.15,17.96,5.64,1.35,0.59,65.56,0.08,65.47,63.2,2.27,34.44,14.37,19.36,16.14,20.81,29.32,75106.0,0.36,92.72,79.22,13.5,1.07,0.31,0.09,1.53,0.42,3.85,0.11,88.76,27.3,73.11,20374.0,18.2,4.5,12.8,6.9,11.3,14.1,28.8,15.2,5.0,1.3,12.7,7.3,22.1,2.9,3.7,1.3,0.23,0.42,0.03,0.16,0.7,1.54,0.2,0.12,0.96,0.46,0.37,0.66,2.57,0.58,0.4,0.4,0.4,0.8,0.84,0.76,0.2,0.27,2.86,0.69,7.38,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20025.0,7.1,0.3,9.5,0.2,0.5,0.0,2.2,0.0,0.0,0.57,0.36,0.06,0.57,0.15,0.15,0.04,0.07
56039.0,-0.01,-1.47,-1.46,5.83,3996.85,0.2,3996.85,0.0,0.01,0.0,0.0,0.0,23319.0,23319.0,52.66,47.34,23319.0,4.58,4.43,6.33,2.47,6.48,17.87,17.77,12.23,12.39,10.27,4.39,0.81,85.22,0.71,0.13,1.58,0.06,9.39,2.9,3.97,96.03,79.13,57.87,19.6,4.9,2.09,78.15,0.0,78.15,76.27,1.88,21.85,8.62,11.93,17.5,14.45,47.5,94498.0,0.53,70.11,65.12,4.99,3.08,0.0,2.74,10.66,1.1,12.3,0.11,88.9,21.48,80.51,23356.0,11.9,1.8,20.5,5.3,11.4,14.9,17.9,6.3,4.1,3.0,18.8,7.4,2.9,4.9,4.0,4.6,0.04,0.05,0.38,0.06,0.71,1.24,0.13,0.16,0.1,0.0,0.2,0.85,1.32,0.02,0.53,0.53,0.53,0.8,0.13,0.92,0.24,0.79,2.88,0.7,5.97,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,29832.0,10.4,0.7,14.8,1.4,0.2,0.1,1.0,0.6,0.0,0.77,0.17,0.04,0.67,0.15,0.06,0.11,0.1
56037.0,-0.01,-1.47,-1.46,4.07,10426.98,0.27,10426.98,0.0,0.0,0.0,0.0,0.0,42459.0,42459.0,51.46,48.54,42459.0,6.26,8.14,7.08,4.3,8.71,13.02,14.87,12.04,12.88,8.5,2.96,1.24,86.83,1.24,1.19,1.15,0.1,2.76,6.74,7.29,92.71,60.1,19.39,6.98,2.38,0.81,68.51,0.0,68.51,63.91,4.6,31.49,15.45,16.17,17.14,14.47,36.76,76668.0,0.42,90.88,76.78,14.1,2.62,0.32,0.76,2.75,0.15,2.52,0.13,86.75,23.02,73.51,43352.0,18.0,6.2,17.3,7.4,11.8,12.2,26.1,13.2,6.2,0.8,21.2,4.9,21.0,1.7,1.9,1.3,0.23,0.73,0.15,0.2,0.73,2.04,0.34,0.05,0.9,0.27,0.61,0.52,2.35,0.41,0.57,0.57,0.57,0.68,0.82,0.44,0.03,0.27,2.24,0.35,7.19,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,45097.0,9.8,1.1,16.0,0.7,1.0,0.0,2.2,0.2,0.0,0.59,0.33,0.07,0.62,0.13,0.13,0.03,0.1
56035.0,-0.01,-1.47,-1.46,1.81,4886.48,0.31,4886.48,0.0,0.0,0.0,0.0,0.0,8830.0,8830.0,56.24,43.76,8830.0,5.37,6.66,6.36,3.79,8.72,9.25,14.37,11.91,13.98,12.31,5.16,2.11,96.01,0.01,0.2,0.0,0.0,0.2,3.57,4.97,95.03,62.76,26.6,5.65,0.69,0.21,66.11,0.0,66.11,62.67,3.43,33.89,11.57,17.38,17.35,13.66,40.04,82342.0,0.52,84.45,67.49,16.96,0.0,0.0,1.85,4.63,0.82,8.24,0.11,88.86,25.89,76.87,9865.0,12.8,5.3,14.2,4.6,14.2,18.9,23.0,15.7,5.4,0.3,11.3,0.5,14.3,0.8,1.2,0.3,0.06,0.58,0.05,0.04,0.84,1.57,0.2,0.5,0.62,0.51,0.45,0.24,2.33,0.4,0.36,0.36,0.36,0.09,0.64,0.11,0.02,0.03,0.88,0.01,5.14,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9434.0,12.1,0.0,7.3,0.0,0.3,0.0,3.7,0.0,0.0,0.63,0.32,0.05,0.58,0.2,0.16,0.01,0.12
56033.0,-0.01,-1.47,-1.46,12.21,2523.36,0.2,2523.36,0.0,0.02,0.0,0.0,0.0,30812.0,30812.0,49.87,50.13,30812.0,4.78,5.51,7.75,3.93,7.62,11.25,12.33,11.34,14.49,12.95,5.66,2.39,93.55,0.47,1.36,1.0,0.0,1.21,2.41,4.19,95.81,67.02,31.24,13.23,3.34,1.16,62.99,0.1,62.89,61.3,1.59,37.01,17.83,22.63,15.3,11.63,32.62,62531.0,0.45,88.75,79.83,8.92,0.0,0.0,0.31,2.5,0.42,8.02,0.12,88.01,31.14,71.47,30397.0,15.1,3.6,25.7,4.5,11.4,21.2,21.3,12.5,3.8,0.2,8.6,4.7,7.4,1.3,4.2,3.2,0.11,0.24,0.76,0.03,0.71,1.85,0.29,0.71,0.38,0.22,0.16,0.16,1.62,0.07,0.28,0.28,0.28,0.67,0.37,0.28,0.28,0.69,2.28,0.38,6.03,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30964.0,11.4,0.1,4.4,0.7,1.7,0.0,1.5,0.2,0.0,0.66,0.29,0.04,0.57,0.21,0.12,0.01,0.11
56031.0,-0.01,-1.47,-1.46,4.14,2081.46,0.27,2081.46,0.0,0.01,0.0,0.0,0.0,8607.0,8607.0,51.74,48.26,8607.0,4.57,3.32,6.08,4.47,4.87,11.54,11.06,13.02,15.52,14.87,7.88,2.8,90.51,0.5,0.1,0.73,0.57,0.16,7.42,8.29,91.71,54.96,22.36,11.71,2.51,1.18,55.77,0.48,55.29,55.08,0.21,44.23,17.37,21.99,18.61,11.49,30.53,59402.0,0.42,91.89,81.32,10.57,0.0,0.0,0.23,4.34,0.0,3.54,0.14,86.45,35.68,67.42,8572.0,17.6,2.1,18.0,8.1,9.4,24.3,17.9,17.3,2.8,1.2,14.1,4.6,13.7,0.1,2.4,1.2,0.21,0.07,0.19,0.26,0.57,1.29,0.14,0.87,0.1,0.65,0.07,0.64,2.32,0.4,0.43,0.43,0.43,0.67,0.62,0.02,0.06,0.23,1.59,0.12,5.65,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7467.0,19.8,0.1,8.3,0.7,0.0,0.6,4.4,0.0,0.0,0.54,0.37,0.08,0.56,0.26,0.17,0.04,0.2
56029.0,-0.01,-1.47,-1.46,4.27,6939.04,0.18,6939.04,0.0,0.01,0.0,0.0,0.0,29664.0,29664.0,49.58,50.42,29664.0,5.01,4.99,7.32,3.58,7.03,10.64,11.85,10.84,15.4,13.94,7.24,2.16,92.94,0.68,0.74,0.34,0.0,1.24,4.06,4.64,95.36,69.48,33.01,11.01,3.38,1.45,60.43,0.0,60.43,58.48,1.94,39.57,16.26,21.34,23.0,14.53,24.87,62586.0,0.43,85.45,78.05,7.39,0.11,0.09,0.47,4.47,0.77,8.64,0.11,88.96,33.54,70.55,29273.0,12.4,2.4,18.5,4.1,12.2,23.0,20.5,11.5,4.5,0.2,9.4,1.6,9.1,1.0,3.3,2.7,0.05,0.09,0.22,0.02,0.75,1.14,0.11,0.82,0.29,0.15,0.27,0.16,1.69,0.08,0.3,0.3,0.3,0.29,0.45,0.17,0.15,0.63,1.68,0.14,4.81,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27787.0,10.2,0.7,5.7,0.6,0.2,0.0,1.8,0.4,0.0,0.68,0.26,0.05,0.56,0.23,0.11,0.01,0.1
56027.0,-0.01,-1.47,-1.46,0.95,2626.03,0.22,2626.03,0.0,0.0,0.0,0.0,0.0,2486.0,2486.0,44.01,55.99,2486.0,4.02,6.52,5.67,3.3,2.9,13.88,13.15,10.7,18.1,11.83,8.13,1.81,93.04,0.52,2.25,0.0,1.25,0.16,2.78,7.83,92.17,57.91,21.0,3.94,0.52,0.47,52.03,0.0,52.03,49.47,2.57,47.97,26.45,24.58,16.81,11.5,20.65,48688.0,0.45,82.58,75.68,6.91,0.0,0.0,0.0,4.5,1.0,11.91,0.1,89.57,41.22,65.82,2377.0,36.1,5.0,22.0,8.9,10.2,18.0,21.4,15.2,2.8,0.3,12.6,2.2,14.7,1.2,3.6,11.3,0.91,0.52,0.5,0.32,0.63,2.88,0.62,0.41,0.4,0.46,0.07,0.24,1.57,0.06,0.4,0.4,0.4,0.4,0.65,0.24,0.19,0.95,2.42,0.44,7.27,0.39,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2110.0,13.1,0.8,6.3,0.0,1.8,1.5,2.3,0.0,0.0,0.57,0.34,0.08,0.59,0.22,0.13,0.01,0.12
