Join_ID,FIPS,Point Coun
1,01001,30.0
2,01003,139.0
3,01005,14.0
4,01007,14.0
5,01009,32.0
6,01011,6.0
7,01013,9.0
8,01015,81.0
9,01017,12.0
10,01019,14.0
11,01021,16.0
12,01023,9.0
13,01025,17.0
14,01027,10.0
15,01029,2.0
16,01031,26.0
17,01033,37.0
18,01035,5.0
19,01037,3.0
20,01039,26.0
21,01041,5.0
22,01043,50.0
23,01045,11.0
24,01047,24.0
25,01049,33.0
26,01051,43.0
27,01053,20.0
28,01055,96.0
29,01057,8.0
30,01059,15.0
31,01061,14.0
32,01063,5.0
33,01065,9.0
34,01067,6.0
35,01069,82.0
36,01071,32.0
37,01073,543.0
38,01075,9.0
39,01077,62.0
40,01079,16.0
41,01081,74.0
42,01083,40.0
43,01085,2.0
44,01087,7.0
45,01089,244.0
46,01091,9.0
47,01093,23.0
48,01095,58.0
49,01097,238.0
50,01099,14.0
51,01101,182.0
52,01103,67.0
53,01105,5.0
54,01107,5.0
55,01109,15.0
56,01111,14.0
57,01113,18.0
58,01115,36.0
59,01117,132.0
60,01119,6.0
61,01121,44.0
62,01123,29.0
63,01125,110.0
64,01127,57.0
65,01129,8.0
66,01131,7.0
67,01133,13.0
68,02013,6.0
69,02016,5.0
70,02020,196.0
71,02050,32.0
72,02060,4.0
73,02063,11.0
74,02066,12.0
75,02068,2.0
76,02070,7.0
77,02090,71.0
78,02100,4.0
79,02105,5.0
80,02110,24.0
81,02122,61.0
82,02130,19.0
83,02150,13.0
84,02158,14.0
85,02164,10.0
86,02170,55.0
87,02180,22.0
88,02185,6.0
89,02188,16.0
90,02195,4.0
91,02198,12.0
92,02220,9.0
93,02230,1.0
94,02240,13.0
95,02275,6.0
96,02282,3.0
97,02290,23.0
98,04001,15.0
99,04003,58.0
100,04005,69.0
101,04007,23.0
102,04009,14.0
103,04011,3.0
104,04012,9.0
105,04013,2290.0
106,04015,109.0
107,04017,54.0
108,04019,535.0
109,04021,102.0
110,04023,19.0
111,04025,152.0
112,04027,103.0
113,05001,25.0
114,05003,21.0
115,05005,50.0
116,05007,160.0
117,05009,23.0
118,05011,6.0
119,05013,3.0
120,05015,19.0
121,05017,11.0
122,05019,26.0
123,05021,11.0
124,05023,30.0
125,05025,4.0
126,05027,12.0
127,05029,11.0
128,05031,103.0
129,05033,44.0
130,05035,33.0
131,05037,15.0
132,05039,5.0
133,05041,11.0
134,05043,18.0
135,05045,101.0
136,05047,8.0
137,05049,15.0
138,05051,121.0
139,05053,10.0
140,05055,24.0
141,05057,10.0
142,05059,19.0
143,05061,8.0
144,05063,30.0
145,05065,15.0
146,05067,14.0
147,05069,53.0
148,05071,11.0
149,05073,4.0
150,05075,13.0
151,05077,4.0
152,05079,4.0
153,05081,9.0
154,05083,11.0
155,05085,37.0
156,05087,4.0
157,05089,10.0
158,05091,21.0
159,05093,27.0
160,05095,7.0
161,05097,4.0
162,05099,5.0
163,05101,5.0
164,05103,21.0
165,05105,3.0
166,05107,16.0
167,05109,8.0
168,05111,17.0
169,05113,12.0
170,05115,44.0
171,05117,8.0
172,05119,393.0
173,05121,9.0
174,05123,19.0
175,05125,67.0
176,05127,10.0
177,05129,5.0
178,05131,130.0
179,05133,10.0
180,05135,19.0
181,05137,13.0
182,05139,38.0
183,05141,13.0
184,05143,191.0
185,05145,61.0
186,05147,20.0
187,05149,19.0
188,06001,569.0
189,06003,1.0
190,06005,19.0
191,06007,123.0
192,06009,28.0
193,06011,10.0
194,06013,328.0
195,06015,15.0
196,06017,90.0
197,06019,422.0
198,06021,16.0
199,06023,76.0
200,06025,91.0
201,06027,15.0
202,06029,372.0
203,06031,83.0
204,06033,52.0
205,06035,16.0
206,06037,4978.0
207,06039,40.0
208,06041,161.0
209,06043,7.0
210,06045,84.0
211,06047,106.0
212,06049,8.0
213,06051,9.0
214,06053,146.0
215,06055,93.0
216,06057,50.0
217,06059,1823.0
218,06061,177.0
219,06063,14.0
220,06065,867.0
221,06067,578.0
222,06069,21.0
223,06071,758.0
224,06073,1277.0
225,06075,403.0
226,06077,259.0
227,06079,138.0
228,06081,291.0
229,06083,241.0
230,06085,654.0
231,06087,122.0
232,06089,108.0
233,06091,3.0
234,06093,30.0
235,06095,114.0
236,06097,188.0
237,06099,193.0
