FIPS,MAX_Completeness_pct,Weeks2MAX,IDX_W2M,Population Density (Per Sq. Mile),Area (Land),Average Commute to Work (In Min),AREA_SQMI,Density_Medical_Facilities_Population,Density_Medical_Facilities_Area,Density_Transportation_Stops_Pop,Density_Transportation_Stops_Area,Stops_per_Facility,Total Population,Total Population:,% Total Population: Male,% Total Population: Female,Total Population:.1,% Total Population: Under 5 Years,% Total Population: 5 to 9 Years,% Total Population: 10 to 14 Years,% Total Population: 15 to 17 Years,% Total Population: 18 to 24 Years,% Total Population: 25 to 34 Years,% Total Population: 35 to 44 Years,% Total Population: 45 to 54 Years,% Total Population: 55 to 64 Years,% Total Population: 65 to 74 Years,% Total Population: 75 to 84 Years,% Total Population: 85 Years and Over,% Total Population: White Alone,% Total Population: Black or African American Alone,% Total Population: American Indian and Alaska Native Alone,% Total Population: Asian Alone,% Total Population: Native Hawaiian and Other Pacific Islander Alone,% Total Population: Some Other Race Alone,% Total Population: Two or More Races,% Population 25 Years and Over: Less than High School,% Population 25 Years and Over: High School Graduate or More (Includes Equivalency),% Population 25 Years and Over: Some College or More,% Population 25 Years and Over: Bachelor's Degree or More,% Population 25 Years and Over: Master's Degree or More,% Population 25 Years and Over: Professional School Degree or More,% Population 25 Years and Over: Doctorate Degree,% Population 16 Years and Over: in Labor Force,% Population 16 Years and Over: in Labor Force: in Armed Forces,% Population 16 Years and Over: in Labor Force: Civilian,% Population 16 Years and Over: in Labor Force: Civilian: Employed,% Population 16 Years and Over: in Labor Force: Civilian: Unemployed,% Population 16 Years and Over: Not in Labor Force,"% Households: Less than $25,000","% Households: $25,000 to $49,999","% Households: $50,000 to $74,999","% Households: $75,000 to $99,999","% Households: $100,000 or More",Median Household Income (In 2021 Inflation Adjusted Dollars),Gini Index,"% Workers 16 Years and Over: Car, Truck, or Van",% Workers 16 Years and Over: Drove Alone,% Workers 16 Years and Over: Carpooled,% Workers 16 Years and Over: Public Transportation (Includes Taxicab),% Workers 16 Years and Over: Motorcycle,% Workers 16 Years and Over: Bicycle,% Workers 16 Years and Over: Walked,% Workers 16 Years and Over: Other Means,% Workers 16 Years and Over: Worked At Home,% Total: No Health Insurance Coverage,% Total: with Health Insurance Coverage,% Total: with Health Insurance Coverage: Public Health Coverage,% Total: with Health Insurance Coverage: Private Health Insurance,E_TOTPOP,EP_POV150,EP_UNEMP,EP_HBURD,EP_NOHSDP,EP_UNINSUR,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_LIMENG,EP_MINRTY,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,EP_NOINT,EP_AFAM,EP_HISP,EP_ASIAN,EP_AIAN,EP_NHPI,EP_TWOMORE,EP_OTHERRACE,%Total Child Population,%Total University,%Total High school,%Total Less than High School,%Total Adult Population,%Total Elderly Population,%Population with Disability,%LIMENG,%NOINT,%DAYPOP
56045,-0.00904074465214907,-1.4650099285853646,-1.4559691839332154,2.873639,2398.00501932828,27,2398.003891954138,0.0011524056467876692,0.0033361080133530495,0.0,0.0,0.0,6891,6891,53.46,46.54,6891,4.47,7.87,3.29,4.57,8.81,8.72,13.66,11.89,16.18,12.18,6.75,1.63,89.3,0.36,1.31,0.75,1.06,0.17,7.04,7.11,92.89,55.56,18.4,4.54,1.72,0.88,56.15,0,56.15,53.91,2.23,43.85,22.04,18.99,13.83,18.12,27.02,65566,0.4297,77.32,68.15,9.16,7.55,1.58,0.23,5.64,2.05,5.64,12.82,87.18,30.81,67.58,6942.0,20.3,3.9,18.1,6.7,11.8,20.3,19.3,14.2,2.0,0.2,9.3,3.5,21.3,2.5,2.2,4.8,0.3377,0.2861,0.1938,0.1458,0.7339,1.6973,0.2422,0.6346,0.1881,0.3689,0.0255,0.1604,1.3775,0.029,0.3001,0.3001,0.3001,0.564,0.824,0.6744,0.0449,0.8017,2.909,0.7171,6.2839,0.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5074.0,15.8,0.6,1.9,1.6,0.6,1.7,2.9,0.0,0.2020026121027427,0.5468111201962388,0.3732624693376942,0.07113654946852004,0.5925119721375708,0.20548541575968654,0.13497551138000577,0.0018726591760299626,0.1505329876116393,0.7309132814750793
56043,-0.00904074465214907,-1.4650099285853646,-1.4559691839332154,3.469903,2238.67936994303,12,2238.678265358042,0.0008823900163872432,0.003126845026514097,0.0,0.0,0.0,7768,7768,51.54,48.46,7768,5.14,4.13,7.8,5.69,7.43,9.31,13.17,10.59,14.47,13.21,6.72,2.34,85.67,0.01,0.91,0.4,0,7.34,5.66,5.9,94.1,68.45,26.17,8.92,1.71,0.33,63.62,0.32,63.31,61.71,1.6,36.38,15.67,21.25,25.79,13.68,23.62,62271,0.3717,88.71,81.08,7.63,0,0,1.67,4,2.72,2.9,10.67,89.33,30.76,72.82,7933.0,19.2,4.2,16.8,8.0,12.2,21.6,23.8,13.6,3.8,0.2,18.2,1.0,7.4,3.4,4.3,2.0,0.2833,0.3539,0.1254,0.254,0.754,1.7706,0.2635,0.7422,0.7282,0.3097,0.155,0.1604,2.0955,0.2607,0.521,0.521,0.521,0.1808,0.3692,0.8208,0.2909,0.5003,2.162,0.3148,6.5491,0.2661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7290.0,13.2,0.0,14.3,0.0,0.4,0.0,3.2,0.4,0.22760041194644695,0.6811727825926609,0.25650009219988934,0.05900792919048497,0.5496910401647785,0.22270854788877445,0.13361905962435397,0.0020168914660279843,0.1293331652590445,0.9189461742090004
56041,-0.00904074465214907,-1.4650099285853646,-1.4559691839332154,9.854347,2081.72079252877,21,2081.71980773003,0.0008343967802100716,0.008166324755557432,0.0,0.0,0.0,20514,20514,50.88,49.12,20514,6.89,8.35,8.59,4.81,6.86,11.95,13.43,11.27,13.12,9.46,3.69,1.58,92.13,0.25,0.25,0.18,0,2.42,4.77,6.43,93.57,57.15,17.96,5.64,1.35,0.59,65.56,0.08,65.47,63.2,2.27,34.44,14.37,19.36,16.14,20.81,29.32,75106,0.3596,92.72,79.22,13.5,1.07,0.31,0.09,1.53,0.42,3.85,11.24,88.76,27.3,73.11,20374.0,18.2,4.5,12.8,6.9,11.3,14.1,28.8,15.2,5.0,1.3,12.7,7.3,22.1,2.9,3.7,1.3,0.2327,0.4169,0.0293,0.1614,0.7027,1.543,0.1992,0.1235,0.9628,0.4621,0.366,0.6601,2.5745,0.5789,0.4007,0.4007,0.4007,0.7985,0.8377,0.7553,0.1986,0.2686,2.8587,0.6913,7.3769,0.4064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20025.0,7.1,0.3,9.5,0.2,0.5,0.0,2.2,0.0,0.2862922881934289,0.5655558074510693,0.3642409128693418,0.06430892465805184,0.5663936823632642,0.14731402944330702,0.15078040640031412,0.011632472759399234,0.07008932953764602,0.9828703249239227
56039,-0.00904074465214907,-1.4650099285853646,-1.4559691839332154,5.834346,3996.8486649359,16,3996.84684574612,0.0011132043158075013,0.006505127917941623,0.0,0.0,0.0,23319,23319,52.66,47.34,23319,4.58,4.43,6.33,2.47,6.48,17.87,17.77,12.23,12.39,10.27,4.39,0.81,85.22,0.71,0.13,1.58,0.06,9.39,2.9,3.97,96.03,79.13,57.87,19.6,4.9,2.09,78.15,0,78.15,76.27,1.88,21.85,8.62,11.93,17.5,14.45,47.5,94498,0.5297,70.11,65.12,4.99,3.08,0,2.74,10.66,1.1,12.3,11.1,88.9,21.48,80.51,23356.0,11.9,1.8,20.5,5.3,11.4,14.9,17.9,6.3,4.1,3.0,18.8,7.4,2.9,4.9,4.0,4.6,0.0439,0.0487,0.3787,0.0611,0.7088,1.2412,0.1324,0.1617,0.0987,0.0038,0.2002,0.8533,1.3177,0.0223,0.5331,0.5331,0.5331,0.8039,0.1251,0.9185,0.2397,0.7928,2.88,0.7037,5.972,0.1919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,29832.0,10.4,0.7,14.8,1.4,0.2,0.1,1.0,0.6,0.1779664651142845,0.7704286765955037,0.16897899088283594,0.039696472053910185,0.6672670354646426,0.15476649942107296,0.06306730604555574,0.028600787806131185,0.09903236855625963,1.2772735057372837
56037,-0.00904074465214907,-1.4650099285853646,-1.4559691839332154,4.072032,10426.9801033827,20,10426.975769518618,0.00046133973057759734,0.0019181017048554377,0.0,0.0,0.0,42459,42459,51.46,48.54,42459,6.26,8.14,7.08,4.3,8.71,13.02,14.87,12.04,12.88,8.5,2.96,1.24,86.83,1.24,1.19,1.15,0.1,2.76,6.74,7.29,92.71,60.1,19.39,6.98,2.38,0.81,68.51,0,68.51,63.91,4.6,31.49,15.45,16.17,17.14,14.47,36.76,76668,0.4214,90.88,76.78,14.1,2.62,0.32,0.76,2.75,0.15,2.52,13.25,86.75,23.02,73.51,43352.0,18.0,6.2,17.3,7.4,11.8,12.2,26.1,13.2,6.2,0.8,21.2,4.9,21.0,1.7,1.9,1.3,0.2263,0.7292,0.1493,0.2002,0.7339,2.0389,0.339,0.0503,0.9017,0.2712,0.6108,0.515,2.349,0.4147,0.5672,0.5672,0.5672,0.6811,0.817,0.4363,0.0331,0.2686,2.2361,0.3546,7.1912,0.374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,45097.0,9.8,1.1,16.0,0.7,1.0,0.0,2.2,0.2,0.25777809180621303,0.592896174863388,0.3260353753235548,0.07294362956571757,0.6152759132339434,0.12694599495984363,0.1308359475918066,0.007404502675770437,0.0970428123269976,1.0402518914928953
56035,-0.00904074465214907,-1.4650099285853646,-1.4559691839332154,1.807026,4886.48184624794,22,4886.47951034106,0.0006082108464267612,0.0012278778591627044,0.0,0.0,0.0,8830,8830,56.24,43.76,8830,5.37,6.66,6.36,3.79,8.72,9.25,14.37,11.91,13.98,12.31,5.16,2.11,96.01,0.01,0.2,0,0,0.2,3.57,4.97,95.03,62.76,26.6,5.65,0.69,0.21,66.11,0,66.11,62.67,3.43,33.89,11.57,17.38,17.35,13.66,40.04,82342,0.5239,84.45,67.49,16.96,0,0,1.85,4.63,0.82,8.24,11.14,88.86,25.89,76.87,9865.0,12.8,5.3,14.2,4.6,14.2,18.9,23.0,15.7,5.4,0.3,11.3,0.5,14.3,0.8,1.2,0.3,0.0595,0.5792,0.0474,0.0369,0.844,1.567,0.2037,0.5003,0.6238,0.5118,0.4516,0.2416,2.3291,0.4001,0.3596,0.3596,0.3596,0.0866,0.641,0.1111,0.015,0.028,0.8817,0.0121,5.1374,0.0977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9434.0,12.1,0.0,7.3,0.0,0.3,0.0,3.7,0.0,0.22185730464326162,0.6254712342238977,0.3227339780363875,0.049663989509916406,0.5823329558323895,0.1958097395243488,0.15641155600608211,0.0032437911809427267,0.1205271160669032,0.9563101875316776
56033,-0.00904074465214907,-1.4650099285853646,-1.4559691839332154,12.2107,2523.36118931825,16,2523.359997793752,0.0010198374839622331,0.01228520703629455,0.0,0.0,0.0,30812,30812,49.87,50.13,30812,4.78,5.51,7.75,3.93,7.62,11.25,12.33,11.34,14.49,12.95,5.66,2.39,93.55,0.47,1.36,1,0,1.21,2.41,4.19,95.81,67.02,31.24,13.23,3.34,1.16,62.99,0.1,62.89,61.3,1.59,37.01,17.83,22.63,15.3,11.63,32.62,62531,0.4539,88.75,79.83,8.92,0,0,0.31,2.5,0.42,8.02,11.99,88.01,31.14,71.47,30397.0,15.1,3.6,25.7,4.5,11.4,21.2,21.3,12.5,3.8,0.2,8.6,4.7,7.4,1.3,4.2,3.2,0.1136,0.2377,0.7581,0.0315,0.7088,1.8497,0.2861,0.712,0.3791,0.2171,0.155,0.1604,1.6236,0.0681,0.2753,0.2753,0.2753,0.6722,0.3692,0.2759,0.2753,0.6913,2.2839,0.3838,6.0325,0.1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30964.0,11.4,0.1,4.4,0.7,1.7,0.0,1.5,0.2,0.21965467999480723,0.6586006637168141,0.28788716814159293,0.041943215339233036,0.5703946514345061,0.20995066857068675,0.12320294765930849,0.0021383689179853274,0.11063591801822548,1.0186531565615027
56031,-0.00904074465214907,-1.4650099285853646,-1.4559691839332154,4.13508,2081.45886081325,20,2081.457973430934,0.0011665888940737283,0.004804324722212228,0.0,0.0,0.0,8607,8607,51.74,48.26,8607,4.57,3.32,6.08,4.47,4.87,11.54,11.06,13.02,15.52,14.87,7.88,2.8,90.51,0.5,0.1,0.73,0.57,0.16,7.42,8.29,91.71,54.96,22.36,11.71,2.51,1.18,55.77,0.48,55.29,55.08,0.21,44.23,17.37,21.99,18.61,11.49,30.53,59402,0.4231,91.89,81.32,10.57,0,0,0.23,4.34,0,3.54,13.55,86.45,35.68,67.42,8572.0,17.6,2.1,18.0,8.1,9.4,24.3,17.9,17.3,2.8,1.2,14.1,4.6,13.7,0.1,2.4,1.2,0.2113,0.0659,0.1862,0.2619,0.5675,1.2928,0.1442,0.8714,0.0987,0.647,0.0659,0.6413,2.3243,0.3978,0.4341,0.4341,0.4341,0.6658,0.6241,0.0169,0.0582,0.2298,1.5948,0.1229,5.646,0.1461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7467.0,19.8,0.1,8.3,0.7,0.0,0.6,4.4,0.0,0.1843848030672708,0.5377973034388729,0.3675200727162551,0.08286623238903197,0.5601254792610666,0.2554897176716626,0.1705552963135791,0.011549230051329911,0.19528698086794213,0.871091927204853
56029,-0.00904074465214907,-1.4650099285853646,-1.4559691839332154,4.274944,6939.03886504493,15,6939.035846361338,0.0011273186895774264,0.0047557039235219395,0.0,0.0,0.0,29664,29664,49.58,50.42,29664,5.01,4.99,7.32,3.58,7.03,10.64,11.85,10.84,15.4,13.94,7.24,2.16,92.94,0.68,0.74,0.34,0,1.24,4.06,4.64,95.36,69.48,33.01,11.01,3.38,1.45,60.43,0,60.43,58.48,1.94,39.57,16.26,21.34,23,14.53,24.87,62586,0.4317,85.45,78.05,7.39,0.11,0.09,0.47,4.47,0.77,8.64,11.04,88.96,33.54,70.55,29273.0,12.4,2.4,18.5,4.1,12.2,23.0,20.5,11.5,4.5,0.2,9.4,1.6,9.1,1.0,3.3,2.7,0.0522,0.092,0.2222,0.0207,0.754,1.1411,0.1104,0.8227,0.2903,0.1474,0.2651,0.1604,1.6859,0.0831,0.3046,0.3046,0.3046,0.2909,0.4456,0.168,0.1486,0.6283,1.6814,0.1435,4.813,0.0703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27787.0,10.2,0.7,5.7,0.6,0.2,0.0,1.8,0.4,0.20900755124056095,0.6802937461995416,0.25880536975536744,0.04635389868562608,0.557544498381877,0.23344795037756202,0.11430328288866874,0.0016738974481604208,0.09910156116557921,0.9492364977966044
56027,-0.00904074465214907,-1.4650099285853646,-1.4559691839332154,0.9466769,2626.02794453102,17,2626.026680606646,0.0012620950778291964,0.0011424103274179078,0.0,0.0,0.0,2486,2486,44.01,55.99,2486,4.02,6.52,5.67,3.3,2.9,13.88,13.15,10.7,18.1,11.83,8.13,1.81,93.04,0.52,2.25,0,1.25,0.16,2.78,7.83,92.17,57.91,21,3.94,0.52,0.47,52.03,0,52.03,49.47,2.57,47.97,26.45,24.58,16.81,11.5,20.65,48688,0.4513,82.58,75.68,6.91,0,0,0,4.5,1,11.91,10.43,89.57,41.22,65.82,2377.0,36.1,5.0,22.0,8.9,10.2,18.0,21.4,15.2,2.8,0.3,12.6,2.2,14.7,1.2,3.6,11.3,0.9087,0.5172,0.4978,0.3199,0.6337,2.8773,0.6203,0.409,0.395,0.4621,0.0659,0.2416,1.5736,0.0563,0.3972,0.3972,0.3972,0.395,0.6534,0.2377,0.1856,0.9481,2.4198,0.4443,7.2679,0.388,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2110.0,13.1,0.8,6.3,0.0,1.8,1.5,2.3,0.0,0.19509251810136766,0.574390876101607,0.3426645930533955,0.0782789009849663,0.587288817377313,0.2176186645213194,0.13462347496844762,0.002524190155658393,0.11611274716028608,0.8876735380732015
