Join_ID,FIPS,Point Coun
1,01001020100,
2,01001020200,
3,01001020300,5.0
4,01001020400,6.0
5,01001020501,4.0
6,01001020502,4.0
7,01001020503,6.0
8,01001020600,
9,01001020700,1.0
10,01001020801,
11,01001020803,
12,01001020804,
13,01001020805,
14,01001020901,1.0
15,01001020902,
16,01001021000,
17,01001021100,3.0
18,01003010100,
19,01003010200,
20,01003010300,2.0
21,01003010400,
22,01003010500,13.0
23,01003010600,
24,01003010704,5.0
25,01003010706,4.0
26,01003010707,2.0
27,01003010708,6.0
28,01003010709,2.0
29,01003010710,13.0
30,01003010711,1.0
31,01003010800,4.0
32,01003010903,1.0
33,01003010904,2.0
34,01003010906,4.0
35,01003010907,
36,01003010908,6.0
37,01003011000,1.0
38,01003011102,2.0
39,01003011103,0.0
40,01003011104,5.0
41,01003011201,7.0
42,01003011202,13.0
43,01003011300,
44,01003011409,1.0
45,01003011410,0.0
46,01003011411,0.0
47,01003011412,0.0
48,01003011413,4.0
49,01003011414,
50,01003011415,
51,01003011416,1.0
52,01003011417,2.0
53,01003011418,5.0
54,01003011419,2.0
55,01003011501,19.0
56,01003011503,7.0
57,01003011504,1.0
58,01003011601,1.0
59,01003011603,3.0
60,01003011604,
61,01005950100,1.0
62,01005950200,2.0
63,01005950300,
64,01005950400,
65,01005950500,1.0
66,01005950600,0.0
67,01005950700,3.0
68,01005950800,1.0
69,01005950900,6.0
70,01007010001,
71,01007010005,5.0
72,01007010006,
73,01007010007,1.0
74,01007010008,
75,01007010009,
76,01007010010,8.0
77,01007010011,
78,01009050103,
79,01009050104,
80,01009050105,5.0
81,01009050106,13.0
82,01009050107,
83,01009050200,2.0
84,01009050301,
85,01009050302,6.0
86,01009050400,
87,01009050501,1.0
88,01009050502,
89,01009050601,
90,01009050603,1.0
91,01009050604,1.0
92,01009050701,1.0
93,01009050702,2.0
94,01011952100,
95,01011952201,5.0
96,01011952202,1.0
97,01011952500,
98,01013952700,1.0
99,01013952800,4.0
100,01013952900,2.0
101,01013953000,
102,01013953100,0.0
103,01013953200,
104,01013953300,
105,01013953400,2.0
106,01013953500,
107,01015000200,9.0
108,01015000300,
109,01015000400,
110,01015000500,1.0
111,01015000600,
112,01015000700,5.0
113,01015000800,23.0
114,01015000900,2.0
115,01015001000,5.0
116,01015001101,2.0
117,01015001102,9.0
118,01015001103,2.0
119,01015001201,1.0
120,01015001202,1.0
121,01015001300,1.0
122,01015001400,
123,01015001501,3.0
124,01015001502,
125,01015001600,1.0
126,01015001700,1.0
127,01015001801,0.0
128,01015001802,
129,01015002001,
130,01015002002,
131,01015002101,
132,01015002102,1.0
133,01015002104,5.0
134,01015002105,0.0
135,01015002200,3.0
136,01015002300,3.0
137,01015002400,
138,01015002502,
139,01015002503,1.0
140,01015002504,1.0
141,01015002600,1.0
142,01015981901,
143,01015981902,
144,01015981903,
145,01017953800,
146,01017953900,
147,01017954001,
148,01017954002,1.0
149,01017954200,
150,01017954300,0.0
151,01017954600,7.0
152,01017954700,1.0
153,01017954800,3.0
154,01019955701,2.0
155,01019955702,
156,01019955801,1.0
157,01019955802,2.0
158,01019955900,0.0
159,01019956000,9.0
160,01019956101,
161,01019956102,
162,01021060101,4.0
163,01021060103,1.0
164,01021060104,6.0
165,01021060200,
166,01021060300,
167,01021060401,2.0
168,01021060403,1.0
169,01021060404,
170,01021060500,2.0
171,01021060600,
172,01021060701,
173,01021060702,
174,01023956700,
175,01023956800,5.0
176,01023956900,4.0
177,01023957000,
178,01025957500,0.0
179,01025957601,
180,01025957603,2.0
181,01025957604,3.0
